1 ppuicvmy 30 3
2 fqpbusipw 20 8
3 xnhglgef 24 15
4 diflsll 34 16
5 uftsvqfikm 30 14
6 gsdnqful 34 17
7 llijjtvkj 23 15
8 voknymf 22 11
9 ohqwvev 31 12
10 ywvjbry 29 2
11 udlqetn 19 5
12 hfsylqzd 21 17
13 omawtbq 22 17
14 qzqqvlwgw 24 14
15 tbxdwre 26 1
16 pqiwepqr 27 11
17 qzeonyvvd 25 1
18 hfnhqph 35 19
19 wzuyecdk 30 18
20 jwgpjx 19 12
21 ykhabjs 18 7
22 ksltli 20 15
23 contpwxj 30 11
24 gldmhqaay 32 19
25 pqsrklaxp 21 7
26 ldnzlirjbm 24 7
27 ywsggxg 21 15
28 tfcrchgkg 30 9
29 gguksna 28 2
30 yawdkfn 34 3
31 oydujtuhm 32 7
32 smczhogi 33 9
33 bafqcftba 22 4
34 edzzoiz 30 6
35 wuzkkr 20 8
36 iifdyp 24 6
37 llgtziys 18 19
38 lgwqxwp 27 3
39 upojbz 21 9
40 kcsqpzj 25 15
41 jeqpji 33 3
42 keytqha 32 1
43 frfypyxso 35 6
44 sfjqombq 27 18
45 axohrks 20 1
46 avjxsjlt 19 12
47 lflqdje 31 9
48 msqmgopac 23 18
49 okawdeihx 20 14
50 hdxjqlc 18 11
51 wwogirb 23 1
52 fvyuqby 23 8
53 xuiyxios 26 11
54 elobjes 22 6
55 jcgarnaec 35 11
56 lwyzos 29 15
57 yuwtojrq 33 18
58 zbmsfrk 22 17
59 qseetuz 30 7
60 xgixsbl 26 1
61 wtbfdsjf 19 18
62 vjprst 20 3
63 nrpwkdkb 24 13
64 jpaxgm 33 15
65 eoudcbfn 32 15
66 oneymkmwf 33 2
67 vvbkrssit 24 8
68 dfomll 29 2
69 tmolgona 18 19
70 lchbshl 31 19
71 iemialei 26 14
72 irctie 29 12
73 gnplwog 32 19
74 dhgkbw 20 18
75 noclwmw 18 9
76 pyqresm 29 1
77 kbalzwme 24 4
78 ctvryyl 29 8
79 rupbxuvbn 20 10
80 vxakhvt 35 13
81 gdprvgr 19 7
82 jsxkoulk 28 1
83 wmcsgui 27 10
84 cnpexrk 29 16
85 idijqaio 27 11
86 qhmqpfj 20 3
87 aaccmcw 28 1
88 pqccvc 24 10
89 ipaogxi 26 19
90 jljizy 27 4
91 tcwoade 35 4
92 rrbuoragsj 26 5
93 vjrohsxh 35 10
94 yrjwmqk 34 10
95 oajyspi 35 18
96 clvxpm 27 12
97 wolher 26 18
98 cpqtzmrg 18 3
99 jxjrpxay 29 18
100 wnarrpc 18 18
101 gejkhoe 34 7
102 wxpgcllbr 22 5
103 cttklhj 34 12
104 gprdlen 19 9
105 ozrfdpi 24 18
106 yisntal 23 7
107 degdyc 26 14
108 krpppb 22 11
109 hcldyjnuu 32 18
110 jougbz 34 11
111 nszhxfyuw 29 6
112 rqvefmp 31 6
113 stgbhounl 27 8
114 xdmwrzj 35 10
115 wttlyklwn 28 2
116 ilvhaz 24 9
117 shodhvd 29 17
118 nqlpxlmik 32 19
119 aqutvwmo 24 17
120 hurpobs 20 17
121 nxmorrg 24 1
122 iofkvwgvg 19 10
123 qkqxyrvpj 23 12
124 qgldeso 21 6
125 pqxnpxb 32 2
126 hjrnqww 21 5
127 pdorjk 32 13
128 yuzsugrs 24 13
129 qtthjoahkb 35 10
130 bzfvgtn 33 4
131 ciszcmfc 32 9
132 ykzjgecxd 31 7
133 dkcgipf 30 10
134 qoiarrhfq 32 18
135 esxyqfnd 29 7
136 hzlnsx 27 12
137 biyahm 29 13
138 orvxldiy 21 8
139 hjlhsxet 32 10
140 pizufpj 32 12
141 rorefcn 26 12
142 ufewtikh 35 15
143 fcbuejy 23 6
144 pmwfrczx 31 15
145 nutxvpplp 26 9
146 bhtthzf 25 14
147 lviupeuy 25 17
148 ihcletr 23 18
149 lfiblf 34 16
150 krbvvc 32 10
151 xmnffza 32 8
152 hjgjyyde 31 17
153 nrhwzg 33 7
154 ahhkxem 32 10
155 mbuiunit 28 6
156 owsgichm 28 16
157 oitqqfplb 35 3
158 mwfyqkhk 25 7
159 luvewjzlgl 34 4
160 pfufuka 22 11
161 detpkoqb 30 19
162 yasjoo 30 16
163 igtkkul 21 6
164 nadavgt 27 10
165 swvjank 34 9
166 zrbgkrl 32 12
167 xndcee 22 18
168 rmewkexw 29 7
169 rmlhbh 31 10
170 bylfxb 26 1
171 tjugqfpfy 34 14
172 hdhfnbwq 31 6
173 yqjhvpvd 24 15
174 vqqxlvp 28 1
175 kuiembm 25 16
176 vdiuficx 29 10
177 dfxien 34 6
178 gybuhr 32 2
179 mpbypan 22 15
180 ftycfc 34 5
